"No. SD"	"Nom F"	"SB-Code"	"Créé le"	"Modifié le"
"0.721.29.0"	"Entraîneur/euse de sport d'élite (DF)"	""	"04.03.2003"	"29.01.2020"	
"0.721.25.0"	"Entraîneur/euse de sport de performance (BF)"	""	"04.03.2003"	"30.03.2009"	
"0.721.60.0"	"Expert/e en promotion de l’activité physique et de la santé (DF)"	""	"14.09.2017"	"01.02.2018"	
"0.721.17.0"	"Expert/e en sport HES"	""	"06.11.1991"	"18.11.2016"	
"0.721.4.0"	"Guide de montagne (BF)"	""	"06.11.1991"	"16.01.2005"	
"0.721.59.2"	"Instructeur/trice de fitness (BF), abr. 2018"	""	"27.08.2018"	"27.08.2018"	
"0.721.8.0"	"Instructeur/trice de parachutisme"	""	"06.11.1991"	"16.01.2005"	
"0.721.2.2"	"Maître de bain (BF), abr. 2013"	""	"13.08.2012"	"12.02.2013"	
"0.721.23.0"	"Maître/esse d'arts martiaux"	""	"06.11.1991"	"13.04.2006"	
"0.721.23.2"	"Maître/esse de Ju-Jitsu"	""	"11.12.2003"	"26.04.2006"	
"0.721.23.1"	"Maître/esse de judo"	""	"11.12.2003"	"26.04.2006"	
"0.721.23.3"	"Maître/esse de karaté"	""	"13.04.2006"	"26.04.2006"	
"0.721.19.0"	"Maître/esse de plongée"	""	"06.11.1991"	"16.01.2005"	
"0.721.24.0"	"Manager en sport"	""	"10.04.2000"	"31.05.2010"	
"0.721.40.0"	"Moniteur/trice de fitness"	""	"20.01.2011"	"13.01.2014"	
"0.721.15.0"	"Moniteur/trice de gymnastique pour seniors"	""	"06.11.1991"	"16.01.2005"	
"0.721.14.0"	"Moniteur/trice de natation"	""	"06.11.1991"	"10.06.2008"	
"0.721.28.1"	"Moniteur/trice de ski"	""	"03.03.2004"	"30.11.2005"	
"0.721.28.3"	"Moniteur/trice de snowboard"	""	"03.03.2004"	"30.11.2005"	
"0.721.3.0"	"Moniteur/trice-animateur/trice de sports pour handicapés"	""	"06.11.1991"	"16.01.2005"	
"0.721.1.2"	"Pédagogue du mouvement"	""	"11.12.2003"	"10.09.2008"	
"0.721.45.4"	"Professeur/e d'escalade (BF)"	""	"21.09.2022"	"21.09.2022"	
"0.721.45.0"	"Professeur/e d'une discipline sportive (BF)"	""	"21.11.2012"	"28.10.2025"	
"0.721.45.10"	"Professeur/e de canoë-kayak (BF)"	""	"21.09.2022"	"21.09.2022"	
"0.721.45.12"	"Professeur/e de danse de couple (BF)"	""	"21.09.2022"	"21.11.2023"	
"0.721.45.17"	"Professeur/e de danse individuelle (BF)"	""	"21.11.2023"	"21.11.2023"	
"0.721.45.8"	"Professeur/e de golf (BF)"	""	"21.09.2022"	"21.09.2022"	
"0.721.1.0"	"Professeur/e de gymnastique"	""	"06.11.1991"	"10.09.2008"	
"0.721.45.7"	"Professeur/e de ju-jitsu (BF)"	""	"21.09.2022"	"21.09.2022"	
"0.721.45.2"	"Professeur/e de judo (BF)"	""	"21.09.2022"	"21.09.2022"	
"0.721.45.3"	"Professeur/e de karaté (BF)"	""	"21.09.2022"	"21.09.2022"	
"0.721.14.1"	"Professeur/e de natation"	""	"10.06.2008"	"11.06.2008"	
"0.721.45.18"	"Professeur/e de padel (BF)"	""	"17.09.2025"	"28.10.2025"	
"0.721.45.13"	"Professeur/e de patinage (BF)"	""	"21.09.2022"	"21.09.2022"	
"0.721.45.11"	"Professeur/e de planche à voile (BF), abr. 2025"	""	"21.09.2022"	"28.10.2025"	
"0.721.45.16"	"Professeur/e de Running (BF)"	""	"21.11.2023"	"21.11.2023"	
"0.721.28.0"	"Professeur/e de sport de neige (BF)"	""	"25.08.2003"	"03.05.2005"	
"0.721.45.9"	"Professeur/e de sports aquatiques (BF)"	""	"21.09.2022"	"21.09.2022"	
"0.721.20.0"	"Professeur/e de tennis"	""	"06.11.1991"	"16.01.2005"	
"0.721.45.6"	"Professeur/e de tennis (BF)"	""	"21.09.2022"	"21.09.2022"	
"0.721.45.15"	"Professeur/e de triathlon (BF), abr. 2023"	""	"21.09.2022"	"21.11.2023"	
"0.721.45.14"	"Professeur/e de vélo tout-terrain (BF)"	""	"21.09.2022"	"21.09.2022"	
"0.721.45.5"	"Professeur/e de voile (BF)"	""	"21.09.2022"	"21.09.2022"	
"0.721.45.1"	"Professeur/e en navigation de bateau moteur (BF)"	""	"23.11.2012"	"21.09.2022"	
"0.721.59.0"	"Spécialiste en promotion de l'activité physique et de la santé (BF)"	""	"25.10.2016"	"01.03.2017"	
"0.721.37.0"	"Spécialiste en sciences du mouvement et du sport (U)"	""	"27.08.2008"	"15.09.2020"	
"0.721.2.0"	"Spécialiste établissements de bains (BF)"	""	"06.11.1991"	"12.02.2013"	
"0.721.41.0"	"Sport, mouvement (divers)"	""	"26.01.2011"	""	
"0.721.5.0"	"Sportif/ive professionnel/le (CFC), abr. 2007"	""	"06.11.1991"	"28.03.2012"	
"0.721.36.0"	"Sportif/ve d'élite"	""	"10.06.2008"	"07.07.2008"	
"0.721.22.0"	"Wellness Trainer"	""	"12.03.1997"	"16.01.2005"	
"0.722.0.0"	"Soins"	""	"29.10.1991"	"13.02.2004"	
"0.722.46.0"	"Aide en soins et accompagnement AFP"	""	"21.07.2010"	"25.01.2011"	
"0.722.2.2"	"Aide familial/e (CFC), abr. 2008"	""	"01.12.2008"	"01.12.2008"	
"0.722.46.2"	"Aide-hospitalier/ière"	""	"22.02.2012"	"28.10.2025"	
"0.722.9.0"	"Aide-soignant/e (ct. TI)"	""	"14.02.1994"	"24.08.2016"	
"0.722.46.1"	"Aide-soignant/e CRS"	""	"22.02.2012"	"28.02.2012"	
"0.722.42.0"	"Ambulancier/ière dipl. ES"	""	"04.10.2005"	"23.11.2022"	
"0.722.2.0"	"Assistant/e en soins et santé communautaire CFC"	""	"17.07.2001"	"01.12.2008"	
"0.722.50.0"	"Assistant/e spécialisé/e en soins de longue durée et accompagnement (BF)"	""	"14.08.2012"	"11.01.2024"	
"0.722.55.0"	"Assistant/e spécialisé/e en soins psychiatriques et accompagnement (BF)"	""	"22.11.2018"	"07.03.2019"	
"0.722.1.0"	"Auxiliaire de santé"	""	"06.11.1991"	"02.03.2023"	
"0.722.1.2"	"Auxiliaire de santé CRS"	""	"02.03.2023"	"02.03.2023"	
"0.722.34.1"	"Conducteur/trice d'ambulance"	""	"12.01.2010"	"12.01.2010"	
"0.722.57.0"	"Consultant/e petite enfance (DF)"	""	"07.01.2020"	"26.01.2022"	
"0.722.51.0"	"Expert/e en conseil de diabétologie (DF)"	""	"24.10.2018"	"14.02.2019"	
"0.722.49.0"	"Expert/e en prévention des infections associées aux soins (DF)"	""	"27.02.2012"	"28.08.2012"	
"0.722.18.0"	"Expert/e en soins d'anesthésie dipl. EPD ES"	""	"06.11.1991"	"02.02.2015"	
"0.722.36.0"	"Expert/e en soins d'urgence dipl. EPD ES"	""	"11.02.2005"	"02.02.2015"	
"0.722.53.0"	"Expert/e en soins d’oncologie (DF)"	""	"24.10.2018"	"14.02.2019"	
"0.722.58.0"	"Expert/e en soins en psychiatrie (DF)"	""	"28.04.2020"	"07.08.2020"	
"0.722.56.0"	"Expert/e en soins gériatriques et psychogériatriques (DF)"	""	"27.08.2019"	"05.11.2019"	
"0.722.19.0"	"Expert/e en soins intensifs dipl. EPD ES"	""	"06.04.1992"	"07.12.2009"	
"0.722.52.0"	"Expert/e en soins néphrologiques (DF)"	""	"24.10.2018"	"14.02.2019"	
"0.722.54.0"	"Expert/e en soins palliatifs (DF)"	""	"24.10.2018"	"22.05.2019"	
"0.722.18.2"	"Infirmier/ière anesthésiste dipl."	""	"30.09.2009"	"30.09.2009"	
"0.722.26.0"	"Infirmier/ière clinicien/ne (niveau I)"	""	"04.02.1997"	"19.08.2014"	
"0.722.38.1"	"Infirmier/ière clinicien/ne (niveau II)"	""	"15.07.2014"	"15.07.2014"	
"0.722.26.1"	"Infirmier/ière clinicien/ne en gériatrie"	""	"11.12.2003"	"24.10.2005"	
"0.722.26.4"	"Infirmier/ière clinicien/ne en oncologie"	""	"11.12.2003"	"24.10.2005"	
"0.722.26.10"	"Infirmier/ière clinicien/ne en santé maternelle et infantile"	""	"05.10.2005"	"24.10.2005"	
"0.722.26.9"	"Infirmier/ière clinicien/ne en santé mentale et psychiatrie"	""	"05.10.2005"	"05.10.2005"	
"0.722.26.8"	"Infirmier/ière clinicien/ne en santé publique"	""	"05.10.2005"	"05.10.2005"	
"0.722.21.0"	"Infirmier/ière de salle d'opération dipl."	""	"06.11.1991"	"13.10.2005"	
"0.722.40.0"	"Infirmier/ière dipl. ES"	""	"24.06.2005"	"20.07.2005"	
"0.722.26.3"	"Infirmier/ière en diabétologie"	""	"11.12.2003"	"30.11.2005"	
"0.722.26.2"	"Infirmier/ière en psychogériatrie"	""	"11.12.2003"	"24.10.2005"	
"0.722.19.2"	"Infirmier/ière en soins intensifs dipl."	""	"30.09.2009"	"30.09.2009"	
"0.722.39.0"	"Infirmier/ière HES"	""	"19.04.2005"	"23.02.2006"	
"0.722.36.1"	"Infirmier/ière, dipl. en soins d'urgence"	""	"05.10.2009"	"15.10.2009"	
"0.722.30.2"	"Infirmier/ière-chef/fe d'équipe"	""	"28.10.2005"	"29.11.2013"	
"0.722.30.1"	"Infirmier/ière-chef/fe de secteur"	""	"28.10.2005"	"29.11.2013"	
"0.722.30.0"	"Responsable de la gestion des soins"	""	"15.12.2004"	"02.11.2005"	
"0.722.41.0"	"Sage-femme HES"	""	"04.10.2005"	"30.04.2013"	
"0.722.47.1"	"Samaritain/e"	""	"07.10.2010"	"26.10.2010"	
"0.722.47.2"	"Secouriste d'entreprise"	""	"07.10.2010"	"07.10.2010"	
"0.722.47.0"	"Secouriste non professionnel/le"	""	"07.10.2010"	"20.07.2021"	
"0.722.48.0"	"Soins (divers)"	""	"26.01.2011"	""	
"0.722.38.0"	"Spécialiste clinique (niveau II)"	""	"17.04.2005"	"19.08.2014"	
"0.722.27.0"	"Spécialiste en sciences infirmières (U)"	""	"17.07.2001"	"21.09.2015"	
"0.722.34.0"	"Technicien/ne ambulancier/ière (BF)"	""	"07.01.2005"	"20.04.2018"	
"0.723.0.0"	"Domaine médico-technique, médico-thérapeutique"	""	"29.10.1991"	"19.03.2009"	
"0.723.61.0"	"Acousticien/ne en systèmes auditifs CFC"	""	"19.01.2015"	"20.01.2016"	
"0.723.7.1"	"Aide en médecine dentaire (CFC), abr. 1998"	""	"11.12.2003"	"17.03.2006"	
"0.723.7.0"	"Assistant/e dentaire CFC"	""	"13.10.1992"	"09.09.2009"	
"0.723.23.0"	"Assistant/e en podologie CFC"	""	"06.11.1991"	"06.03.2007"	
"0.723.52.0"	"Assistant/e en prophylaxie SSO"	""	"14.07.2010"	"04.08.2010"	
"0.723.18.0"	"Assistant/e médical/e CFC"	""	"06.11.1991"	"30.07.2009"	
"0.723.39.1"	"Assistant/e technique en électrophysiologie"	""	"18.01.2011"	"18.01.2011"	
"0.723.12.1"	"Assistant/e technique en radiologie médicale"	""	"11.12.2003"	"13.08.2008"	
"0.723.40.2"	"Assistant/e technique en salle d'opération"	""	"31.01.2006"	"19.08.2010"	
"0.723.3.0"	"Audiométriste"	""	"06.11.1991"	"12.04.2010"	
"0.723.14.1"	"Audioprothésiste (BF), abr. 2021"	""	"29.06.2021"	"28.09.2021"	
"0.723.20.1"	"Bandagiste (CFC), abr. 2001"	""	"17.12.2003"	"06.03.2006"	
"0.723.44.1"	"Conseiller/ère en affections respiratoires et tuberculose (BF), abr. 2018"	""	"24.08.2018"	"14.11.2018"	
"0.723.31.0"	"Conseiller/ère en allaitement"	""	"05.05.1992"	"21.01.2005"	
"0.723.44.0"	"Conseiller/ère en maladies respiratoires (BF)"	""	"19.09.2005"	"14.11.2018"	
"0.723.57.0"	"Coordinateur/trice en médecine ambulatoire (BF)"	""	"14.08.2012"	"10.03.2015"	
"0.723.67.0"	"Diagnosticien/ne de laboratoire biomédical HES"	""	"05.05.2021"	"28.09.2022"	
"0.723.11.0"	"Diététicien/ne"	""	"06.11.1991"	"21.01.2005"	
"0.723.46.0"	"Diététicien/ne HES"	""	"04.10.2005"	"03.10.2007"	
"0.723.53.0"	"Domaine médico-technique, médico-thérapeutique (divers)"	""	"26.01.2011"	""	
"0.723.1.0"	"Ergothérapeute HES"	""	"06.11.1991"	"23.02.2006"	
"0.723.56.0"	"Expert/e domaine opératoire (DF)"	""	"14.08.2012"	"24.02.2016"	
"0.723.54.0"	"Expert/e en analyses biomédicales et gestion de laboratoire (DF)"	""	"14.08.2012"	"18.09.2013"	
"0.723.55.0"	"Expert/e en cytodiagnostic (DF)"	""	"14.08.2012"	"23.04.2014"	
"0.723.66.0"	"Expert/e opticien/ne (DF)"	""	"08.07.2020"	"08.07.2020"	
"0.723.65.0"	"Expert/e Respiratory Care (DF)"	""	"22.01.2020"	"19.05.2020"	
"0.723.37.0"	"Hippothérapeute"	""	"05.05.1992"	"21.01.2005"	
"0.723.8.0"	"Hygiéniste dentaire dipl. ES"	""	"06.11.1991"	"27.06.2005"	
"0.723.16.2"	"Laborantin/e médical/e"	""	"24.09.2004"	"21.01.2005"	
"0.723.34.0"	"Maître technicien/ne-dentiste (DF), abr. 2019"	""	"06.11.1991"	"25.03.2019"	
"0.723.51.0"	"Masseur/euse"	""	"30.06.2009"	"30.06.2009"	
"0.723.15.0"	"Masseur/euse (BF), abr. 2010"	""	"06.11.1991"	"31.03.2010"	
"0.723.17.0"	"Masseur/euse médical/e (BF)"	""	"27.02.1997"	"04.10.2016"	
"0.723.35.0"	"Moniteur/trice de cours prénataux"	""	"06.11.1991"	"21.01.2005"	
"0.723.5.0"	"Opticien/ne CFC"	""	"06.11.1991"	"02.06.2010"	
"0.723.4.1"	"Opticien/ne dipl. (DF), abr. 2011"	""	"19.03.2007"	"29.11.2013"	
"0.723.4.0"	"Optométriste HES"	""	"06.11.1991"	"12.01.2010"	
"0.723.20.3"	"Orthopédiste (orientation Orthèse) (CFC), abr. 2008"	""	"27.09.2005"	"16.01.2014"	
"0.723.20.2"	"Orthopédiste (orientation Prothèse) (CFC), abr. 2008"	""	"27.09.2005"	"16.01.2014"	
"0.723.20.0"	"Orthopédiste CFC"	""	"10.02.1997"	"17.02.2026"	
"0.723.38.0"	"Orthopédiste dipl. (DF)"	""	"06.11.1991"	"21.01.2005"	
"0.723.47.0"	"Orthoptiste dipl. ES"	""	"04.10.2005"	"04.11.2009"	
"0.723.42.1"	"Pédicure"	""	"02.11.2005"	"09.11.2005"	
"0.723.22.0"	"Physiothérapeute"	""	"06.11.1991"	"21.01.2005"	
"0.723.43.0"	"Physiothérapeute HES"	""	"05.09.2005"	"23.02.2006"	
"0.723.42.0"	"Podologue dipl. ES"	""	"28.06.2005"	"20.07.2005"	
"0.723.24.1"	"Préparateur/trice (BF), abr. 2011"	""	"05.09.2011"	"05.09.2011"	
"0.723.33.0"	"Préparateur/trice en pharmacie"	""	"10.03.1997"	"21.01.2005"	
"0.723.24.0"	"Préparateur/trice humains (BF)"	""	"16.07.1996"	"15.09.2011"	
"0.723.28.1"	"Prothésiste dentaire"	""	"11.12.2003"	"06.05.2006"	
"0.723.2.0"	"Spécialiste en activation"	""	"06.11.1991"	"18.09.2013"	
"0.723.50.0"	"Spécialiste en activation dipl. ES"	""	"23.10.2008"	"19.07.2011"	
"0.723.39.0"	"Spécialiste en diagnostic neurophysiologique (BF)"	""	"02.02.1994"	"14.03.2011"	
"0.723.62.0"	"Spécialiste en kinesthétique appliquée (BF)"	""	"21.05.2015"	"18.04.2017"	
"0.723.14.0"	"Spécialiste en systèmes auditifs (BF)"	""	"06.11.1991"	"28.09.2021"	
"0.723.59.0"	"Spécialiste en technologies de réadaptation (BF)"	""	"25.02.2013"	"25.11.2013"	
"0.723.34.1"	"Spécialiste technique dentaire (BF), abr. 2012"	""	"14.05.2012"	"14.05.2012"	
"0.723.63.1"	"Spécialiste technique dentaire (BF), abr. 2012"	""	"15.05.2017"	"15.05.2017"	
"0.723.16.0"	"Technicien/ne en analyses biomédicales dipl. ES"	""	"06.11.1991"	"09.08.2005"	
"0.723.12.0"	"Technicien/ne en radiologie médicale dipl. ES"	""	"06.11.1991"	"24.02.2020"	
"0.723.48.0"	"Technicien/ne en radiologie médicale HES"	""	"04.10.2005"	"27.02.2019"	
"0.723.40.1"	"Technicien/ne en salle d'opération (TSO)"	""	"31.01.2006"	"19.08.2010"	
"0.723.40.0"	"Technicien/ne en salle d'opération dipl. ES"	""	"28.06.2005"	"14.02.2022"	
"0.723.28.0"	"Technicien/ne-dentiste CFC"	""	"06.11.1991"	"20.05.2008"	
"0.723.63.0"	"Technicien/ne-dentiste spécialisé/e en orthopédie dento-faciale (ODF) (BF)"	""	"19.01.2017"	"16.05.2017"	
"0.723.58.0"	"Technologue en dispositifs médicaux CFC"	""	"23.01.2013"	"19.10.2017"	
"0.723.22.2"	"Thérapeute Bobath"	""	"04.12.2007"	"15.01.2008"	
"0.723.2.1"	"Thérapeute d'animation"	""	"23.10.2008"	"03.12.2008"	
"0.724.0.0"	"Médecine"	""	"29.10.1991"	"19.11.2001"	
"0.724.5.0"	"Chiropraticien/ne (U)"	""	"06.11.1991"	"21.01.2005"	
"0.724.5.1"	"Chiropraticien/ne spécialiste (U)"	""	"22.12.2014"	"22.12.2014"	
"0.724.8.1"	"Docteur/Doctoresse (U)"	""	"11.12.2003"	"27.01.2015"	
"0.724.10.48"	"Docteur/Doctoresse (U)"	""	"22.12.2014"	"27.01.2015"	
"0.724.10.0"	"Médecin (avec titre de spécialiste ou postgrade) (U)"	""	"06.11.1991"	"28.01.2015"	
"0.724.8.0"	"Médecin (U)"	""	"06.11.1991"	"21.01.2005"	
"0.724.10.49"	"Médecin en acupuncture et pharmacothérapie chinoise - MTC (U)"	""	"22.12.2014"	"18.08.2016"	
"0.724.10.50"	"Médecin homéopathe (U)"	""	"22.12.2014"	"22.12.2014"	
"0.724.10.51"	"Médecin nutritionniste (U)"	""	"22.12.2014"	"22.12.2014"	
"0.724.10.27"	"Médecin spécialiste en allergologie et immunologie clinique (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.20"	"Médecin spécialiste en anesthésiologie (U)"	""	"11.12.2003"	"06.07.2022"	
"0.724.10.39"	"Médecin spécialiste en angiologie (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.11"	"Médecin spécialiste en cardiologie (U)"	""	"11.12.2003"	"06.07.2022"	
"0.724.10.12"	"Médecin spécialiste en chirurgie (U)"	""	"11.12.2003"	"06.07.2022"	
"0.724.10.30"	"Médecin spécialiste en chirurgie cardiaque et vasculaire thoracique (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.42"	"Médecin spécialiste en chirurgie de la main (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.31"	"Médecin spécialiste en chirurgie orale et maxillo-faciale (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.47"	"Médecin spécialiste en chirurgie orthopédique et traumatologie de l'appareil locomoteur (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.32"	"Médecin spécialiste en chirurgie pédiatrique (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.37"	"Médecin spécialiste en chirurgie plastique, reconstructive et esthétique (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.53"	"Médecin spécialiste en chirurgie thoracique (U)"	""	"16.03.2021"	"06.07.2022"	
"0.724.10.52"	"Médecin spécialiste en chirurgie vasculaire (U)"	""	"16.03.2021"	"06.07.2022"	
"0.724.10.3"	"Médecin spécialiste en dermatologie et vénéréologie (U)"	""	"11.12.2003"	"06.07.2022"	
"0.724.10.28"	"Médecin spécialiste en endocrinologie / diabétologie (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.13"	"Médecin spécialiste en gastroentérologie (U)"	""	"11.12.2003"	"06.07.2022"	
"0.724.10.24"	"Médecin spécialiste en génétique médicale (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.17"	"Médecin spécialiste en gynécologie et obstétrique (U)"	""	"11.12.2003"	"06.07.2022"	
"0.724.10.29"	"Médecin spécialiste en hématologie (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.38"	"Médecin spécialiste en infectiologie (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.5"	"Médecin spécialiste en médecine du travail (U)"	""	"11.12.2003"	"06.07.2022"	
"0.724.10.40"	"Médecin spécialiste en médecine intensive (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.19"	"Médecin spécialiste en médecine interne générale (U)"	""	"11.12.2003"	"06.07.2022"	
"0.724.10.22"	"Médecin spécialiste en médecine légale (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.45"	"Médecin spécialiste en médecine nucléaire (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.41"	"Médecin spécialiste en médecine pharmaceutique (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.36"	"Médecin spécialiste en médecine physique et réadaptation (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.15"	"Médecin spécialiste en médecine tropicale et médecine des voyages (U)"	""	"11.12.2003"	"06.07.2022"	
"0.724.10.35"	"Médecin spécialiste en néphrologie (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.25"	"Médecin spécialiste en neurochirurgie (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.2"	"Médecin spécialiste en neurologie (U)"	""	"11.12.2003"	"06.07.2022"	
"0.724.10.10"	"Médecin spécialiste en oncologie médicale (U)"	""	"11.12.2003"	"06.07.2022"	
"0.724.10.6"	"Médecin spécialiste en ophtalmologie (U)"	""	"11.12.2003"	"06.07.2022"	
"0.724.10.23"	"Médecin spécialiste en oto-rhino-laryngologie (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.8"	"Médecin spécialiste en pathologie (U)"	""	"11.12.2003"	"06.07.2022"	
"0.724.10.7"	"Médecin spécialiste en pédiatrie (U)"	""	"11.12.2003"	"06.07.2022"	
"0.724.10.33"	"Médecin spécialiste en pharmacologie et toxicologie cliniques (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.26"	"Médecin spécialiste en pneumologie (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.16"	"Médecin spécialiste en prévention et santé publique (U)"	""	"11.12.2003"	"06.07.2022"	
"0.724.10.18"	"Médecin spécialiste en psychiatrie et psychothérapie (U)"	""	"11.12.2003"	"06.07.2022"	
"0.724.10.21"	"Médecin spécialiste en psychiatrie et psychothérapie d'enfants et d'adolescents (U)"	""	"17.12.2003"	"06.07.2022"	
"0.724.10.34"	"Médecin spécialiste en radio-oncologie / radiothérapie (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.1"	"Médecin spécialiste en radiologie (U)"	""	"11.12.2003"	"06.07.2022"	
"0.724.10.44"	"Médecin spécialiste en rhumatologie (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.10.46"	"Médecin spécialiste en urologie (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.7.0"	"Médecin-dentiste (U)"	""	"06.11.1991"	"21.01.2005"	
"0.724.16.0"	"Médecin-dentiste spécialiste (U)"	""	"22.12.2014"	"22.12.2014"	
"0.724.16.2"	"Médecin-dentiste spécialiste en chirurgie orale (U)"	""	"22.12.2014"	"22.12.2014"	
"0.724.16.4"	"Médecin-dentiste spécialiste en médecine dentaire reconstructive (U)"	""	"22.12.2014"	"22.12.2014"	
"0.724.16.1"	"Médecin-dentiste spécialiste en orthodontie (U)"	""	"22.12.2014"	"19.01.2015"	
"0.724.16.3"	"Médecin-dentiste spécialiste en parondontologie (U)"	""	"22.12.2014"	"22.12.2014"	
"0.724.13.0"	"Médecine (divers)"	""	"26.01.2011"	""	
"0.724.10.43"	"Neuropathologue (U)"	""	"22.12.2014"	"06.07.2022"	
"0.724.12.0"	"Ostéopathe"	""	"12.01.2010"	"12.01.2010"	
"0.724.14.0"	"Ostéopathe HES"	""	"25.03.2013"	"24.02.2014"	
"0.724.2.0"	"Pharmacien/ne (U)"	""	"06.11.1991"	"21.01.2005"	
"0.724.15.2"	"Pharmacien/ne d'hôpital FPH (U)"	""	"22.12.2014"	"19.01.2015"	
"0.724.15.0"	"Pharmacien/ne spécialiste FPH (U)"	""	"22.12.2014"	"22.12.2014"	
"0.724.15.3"	"Pharmacien/ne spécialiste FPH en homéopathie classique (U)"	""	"22.12.2014"	"22.12.2014"	
"0.724.15.1"	"Pharmacien/ne spécialiste FPH en officine (U)"	""	"22.12.2014"	"22.12.2014"	
"0.724.17.0"	"Promoteur/trice de la santé HES"	""	"15.11.2017"	"22.11.2017"	
"0.724.11.0"	"Spécialiste en codage médical (BF)"	""	"27.03.2008"	"15.05.2008"	
"0.725.0.0"	"Thérapies alternatives et complémentaires"	""	"02.02.1994"	"19.03.2009"	
"0.725.12.0"	"Acupuncteur/trice"	""	"05.04.2000"	"21.01.2005"	
"0.725.20.0"	"Acupuncteur/trice dipl. ES (ct. ZG)"	""	"25.02.2014"	"25.02.2014"	
"0.725.5.0"	"Conseiller/ère en santé et hygiène de vie"	""	"16.07.1996"	"21.01.2005"	
"0.725.10.0"	"Homéopathe"	""	"26.05.1994"	"08.09.2005"	
"0.725.22.0"	"Homéopathe dipl. ES (ct. ZG)"	""	"25.02.2014"	"25.02.2014"	
"0.725.8.0"	"Kinésiologue"	""	"16.07.1996"	"15.06.2005"	
"0.725.13.0"	"Maître/esse de la technique Alexander"	""	"26.05.1994"	"21.01.2005"	
"0.725.11.0"	"Maître/esse de la technique Feldenkrais"	""	"14.02.1994"	"21.01.2005"	
"0.725.6.0"	"Naturopathe"	""	"14.02.1994"	"18.12.2007"	
"0.725.18.0"	"Naturopathe (DF)"	""	"14.08.2012"	"21.05.2015"	
"0.725.21.0"	"Naturopathe dipl. ES (ct. ZG)"	""	"25.02.2014"	"25.02.2014"	
"0.725.6.6"	"Phytothérapeute (Ct TI)"	""	"02.11.2005"	"09.11.2005"	
"0.725.15.0"	"Réflexologue"	""	"02.11.2005"	"14.01.2009"	
"0.725.15.1"	"Réflexologue plantaire"	""	"18.12.2008"	"21.01.2009"	
"0.725.14.0"	"Sophrologue"	""	"07.12.2004"	"31.01.2005"	
"0.725.19.0"	"Thérapeute complémentaire (DF)"	""	"14.08.2012"	"22.09.2015"	
"0.725.17.0"	"Thérapeute en médecine complémentaire"	""	"09.11.2011"	"15.11.2011"	
"0.725.3.0"	"Thérapeute respiratoire"	""	"06.11.1991"	"29.11.2013"	
"0.725.16.0"	"Thérapies alternatives et complémentaires (divers)"	""	"26.01.2011"	""	
"0.730.0.0"	"Domaine social, théologie, psychologie"	""	"29.10.1991"	"19.03.2009"	
"0.730.1.0"	"Domaine social, théologie, psychologie (divers)"	""	"26.01.2011"	""	
"0.731.0.0"	"Travail social, sciences sociales, assistance"	""	"29.10.1991"	"19.03.2009"	
"0.731.3.0"	"Accompagnant/e socioprofessionnel/le"	""	"03.11.1999"	"18.03.2009"	
"0.731.81.0"	"Accompagnant/e socioprofessionnel/le (BF)"	""	"16.11.2020"	"19.01.2021"	
"0.731.68.4"	"Accompagnant/e socioprofessionnel/le dipl. (DF), abr. 2023"	""	"11.01.2024"	"11.01.2024"	
"0.731.81.1"	"Accompagnant/e socioprofessionnel/le dipl. (DF), abr. 2023"	""	"11.01.2024"	"11.01.2024"	
"0.731.59.6"	"Accompagnateur/trice de personnes âgées (CFC), abr. 2005"	""	"24.06.2005"	"13.09.2005"	
"0.731.34.0"	"Accompagnateur/trice social/e (BF)"	""	""	"03.01.2023"	
"0.731.78.0"	"Animateur/trice communautaire dipl. ES"	""	"20.03.2012"	"07.10.2014"	
"0.731.37.0"	"Animateur/trice de groupe de jeu"	""	"06.11.1991"	"01.10.2008"	
